
Image: dataset\coins_images\coins_images\peso_coins\b078d19f0b.jpg | Précision: 57.14%
Image: dataset\coins_images\coins_images\peso_coins\c1ab7ae37f.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\peso_coins\c4020f2ebb.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\peso_coins\c9f52a349e.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\peso_coins\dfbb7a8b53.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\peso_coins\e75188df16.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\us_coins\08f1f2f13c.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\us_coins\1bf6e7be25.jpg | Précision: 71.43%
Image: dataset\coins_images\coins_images\us_coins\1fa0ef9061.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\us_coins\2c8f0e58fb.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\us_coins\34a00e3178.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\us_coins\3b6bf8f4c7.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\us_coins\69828182e8.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\us_coins\979ea8e95e.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\us_coins\c86fa6d3b6.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\us_coins\eac92d0381.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\182209e67d.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\23c840f179.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\2dbb4104d5.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\34b27970d3.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\3c32d6816f.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\432ce0094b.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\4d27842027.jpg | Précision: 75.00%
Image: dataset\coins_images\coins_images\yen_coins\4ed4743387.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\522a707494.jpg | Précision: 91.67%
Image: dataset\coins_images\coins_images\yen_coins\6fdedc75bc.jpg | Précision: 72.73%
Image: dataset\coins_images\coins_images\yen_coins\79a88cbcc1.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\7b2fcb5dfc.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\82190ba644.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\8910105010.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\9742d5e9e3.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\9f52d4c146.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\a319848121.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\a78251f564.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\b4a9dcae76.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\c49591d0c4.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\c5f5b8cc36.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\d27830b93a.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\d8fdf027a8.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\e23bc81a64.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\e42baf7bc4.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\yen_coins\e7279b8af6.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\yen_coins\f8934b8498.jpg | Précision: 83.33%
